Date,Open,High,Low,Close,Adj Close,Volume
2002/2/1,0.434643,0.445714,0.434643,0.435893,0.373244,398305600
2002/2/4,0.434286,0.455714,0.432143,0.452679,0.387617,522373600
2002/2/5,0.448036,0.463929,0.447857,0.454464,0.389146,456887200
2002/2/6,0.457143,0.463929,0.43125,0.440536,0.37722,597576000
2002/2/7,0.440179,0.451607,0.43,0.433929,0.371562,347832800
2002/2/8,0.435714,0.44,0.417321,0.429107,0.367433,355331200
2002/2/11,0.427321,0.446429,0.423929,0.446071,0.381959,398602400
2002/2/12,0.440357,0.447143,0.436607,0.44125,0.377831,224280000
2002/2/13,0.441607,0.450714,0.440179,0.446607,0.382418,312872000
2002/2/14,0.447321,0.450536,0.435357,0.439286,0.376149,260170400
2002/2/15,0.438036,0.446071,0.425893,0.426786,0.365446,260187200
2002/2/19,0.424286,0.42625,0.401429,0.403929,0.345874,390258400
2002/2/20,0.406607,0.414286,0.399107,0.413036,0.353672,285443200
2002/2/21,0.409286,0.410714,0.383036,0.383929,0.328749,446751200
2002/2/22,0.386786,0.409821,0.383929,0.406071,0.347708,406476000
2002/2/25,0.408036,0.441429,0.399286,0.425179,0.36407,426848800
2002/2/26,0.426964,0.435179,0.415179,0.422679,0.361929,260131200
2002/2/27,0.4275,0.433036,0.373929,0.392143,0.335782,1030159200
2002/2/28,0.395536,0.403393,0.38125,0.3875,0.331806,456937600
2002/3/1,0.391607,0.419643,0.389643,0.41875,0.358565,348992000
2002/3/4,0.415357,0.438929,0.406429,0.43375,0.371409,348258400
2002/3/5,0.43125,0.43625,0.417857,0.420179,0.359788,274702400
2002/3/6,0.419286,0.434643,0.409464,0.429821,0.368045,226206400
2002/3/7,0.429643,0.438036,0.421607,0.435357,0.372785,258249600
2002/3/8,0.441786,0.448036,0.433929,0.440357,0.377066,269774400
2002/3/11,0.439286,0.448929,0.430357,0.4475,0.383183,262785600
2002/3/12,0.437679,0.441786,0.430357,0.441429,0.377984,254055200
2002/3/13,0.435179,0.44375,0.43125,0.437321,0.374467,200765600
2002/3/14,0.433929,0.439286,0.42625,0.43625,0.37355,217296800
2002/3/15,0.436786,0.445714,0.433036,0.445536,0.381501,240900800
2002/3/18,0.445536,0.447321,0.434286,0.441786,0.37829,304556000
2002/3/19,0.440893,0.451786,0.433929,0.44375,0.379972,242345600
2002/3/20,0.440357,0.448929,0.4375,0.445,0.381042,294319200
2002/3/21,0.426071,0.433929,0.415357,0.433393,0.371103,616352800
2002/3/22,0.4325,0.438571,0.42625,0.430179,0.368351,202193600
2002/3/25,0.429821,0.430179,0.415,0.416964,0.357035,262830400
2002/3/26,0.414286,0.422143,0.410714,0.418929,0.358718,257840800
2002/3/27,0.416964,0.423571,0.415357,0.419107,0.358871,127702400
2002/3/28,0.423214,0.426429,0.418929,0.422679,0.361929,108455200
2002/4/1,0.4175,0.441071,0.415714,0.436786,0.374009,199046400
2002/4/2,0.428571,0.433929,0.42625,0.429821,0.368045,203795200
2002/4/3,0.429464,0.437321,0.421429,0.424107,0.363152,214530400
2002/4/4,0.422679,0.447321,0.422679,0.444643,0.380736,338497600
2002/4/5,0.445536,0.449821,0.430357,0.441786,0.37829,278348000
2002/4/8,0.431429,0.440714,0.424643,0.438571,0.375537,261514400
2002/4/9,0.439107,0.446429,0.42875,0.430357,0.368504,191531200
2002/4/10,0.432321,0.445536,0.42875,0.440357,0.377066,224980000
2002/4/11,0.446964,0.45,0.441964,0.443929,0.380125,407254400
2002/4/12,0.446607,0.449464,0.43875,0.4475,0.383183,320241600
2002/4/15,0.4475,0.449107,0.442857,0.446429,0.382266,299370400
2002/4/16,0.449107,0.464107,0.448571,0.459643,0.39358,614577600
2002/4/17,0.463036,0.467321,0.453214,0.46625,0.399238,396250400
2002/4/18,0.455357,0.455714,0.444286,0.45375,0.388534,401710400
2002/4/19,0.455179,0.455179,0.445179,0.446071,0.381959,375407200
2002/4/22,0.443571,0.445179,0.432679,0.438036,0.375079,269427200
2002/4/23,0.438214,0.4425,0.430179,0.433036,0.370798,233469600
2002/4/24,0.433929,0.4375,0.422857,0.424464,0.363458,140448000
2002/4/25,0.420714,0.434643,0.420536,0.430714,0.368809,194202400
2002/4/26,0.433571,0.435179,0.410714,0.410893,0.351837,304981600
2002/4/29,0.413571,0.429643,0.412321,0.427857,0.366363,272288800
2002/4/30,0.426607,0.435357,0.424107,0.433393,0.371103,280963200
2002/5/1,0.43375,0.43375,0.417143,0.428214,0.366669,214704000
2002/5/2,0.425179,0.434643,0.421429,0.423036,0.362235,239344000
2002/5/3,0.420893,0.428929,0.418393,0.419821,0.359482,230781600
2002/5/6,0.416964,0.419643,0.401071,0.404464,0.346332,249664800
2002/5/7,0.409643,0.409821,0.395357,0.40125,0.34358,242748800
2002/5/8,0.414286,0.437857,0.411429,0.435179,0.372633,436682400
2002/5/9,0.433036,0.434821,0.425,0.431964,0.36988,224616000
2002/5/10,0.43375,0.43375,0.410357,0.416429,0.356577,235396000
2002/5/13,0.42,0.430179,0.409643,0.4275,0.366057,265608000
2002/5/14,0.436607,0.458571,0.4325,0.457321,0.391592,526506400
2002/5/15,0.453036,0.463929,0.443571,0.451429,0.386547,335826400
2002/5/16,0.4475,0.454464,0.441964,0.450179,0.385477,227052000
2002/5/17,0.455179,0.460357,0.439464,0.446607,0.382418,236493600
2002/5/20,0.43875,0.445179,0.438036,0.441786,0.37829,269914400
2002/5/21,0.443393,0.446429,0.417857,0.418929,0.358718,280991200
2002/5/22,0.417321,0.435179,0.416429,0.434286,0.371868,290875200
2002/5/23,0.436607,0.450714,0.429821,0.449643,0.385018,369398400
2002/5/24,0.44625,0.44625,0.427857,0.43125,0.369268,166174400
2002/5/28,0.423036,0.432143,0.418393,0.428214,0.366669,149716000
2002/5/29,0.427143,0.436429,0.41875,0.428214,0.366669,221793600
2002/5/30,0.424464,0.435357,0.419821,0.432143,0.370033,196375200
2002/5/31,0.430179,0.433036,0.415714,0.416071,0.356271,365495200
2002/6/3,0.417679,0.41875,0.403214,0.409107,0.350308,235110400
2002/6/4,0.408571,0.411429,0.396071,0.406786,0.34832,347821600
2002/6/5,0.407679,0.407679,0.399107,0.405714,0.347402,277082400
2002/6/6,0.41,0.414821,0.393571,0.395714,0.33884,259996800
2002/6/7,0.388571,0.391786,0.37375,0.382143,0.327219,612376800
2002/6/10,0.383571,0.39,0.381071,0.383571,0.328442,277575200
2002/6/11,0.386429,0.3875,0.364464,0.365357,0.312846,349496000
2002/6/12,0.364464,0.370536,0.356071,0.35875,0.307188,528718400
2002/6/13,0.3575,0.358036,0.346071,0.348929,0.298779,352083200
2002/6/14,0.343571,0.363571,0.323393,0.358929,0.307342,424900000
2002/6/17,0.361429,0.368393,0.354464,0.366786,0.314069,324609600
2002/6/18,0.364643,0.367679,0.356786,0.359821,0.308105,353360000
2002/6/19,0.310179,0.314286,0.301429,0.305714,0.261775,1709467200
2002/6/20,0.306607,0.314286,0.300893,0.305536,0.261623,396636800
2002/6/21,0.303036,0.312321,0.299821,0.300893,0.257647,445177600
2002/6/24,0.299464,0.316607,0.298214,0.308393,0.264069,431933600
2002/6/25,0.310714,0.315714,0.301071,0.306071,0.262081,301201600
2002/6/26,0.3,0.30875,0.285357,0.295536,0.25306,558952800
2002/6/27,0.299821,0.308393,0.293214,0.304643,0.260858,251658400
2002/6/28,0.305357,0.318214,0.303571,0.316429,0.27095,269858400
2002/7/1,0.31625,0.319286,0.304464,0.304643,0.260858,222689600
2002/7/2,0.304107,0.306429,0.300536,0.3025,0.259023,305188800
2002/7/3,0.300179,0.315714,0.299107,0.313393,0.26835,199029600
2002/7/5,0.31625,0.334821,0.31625,0.334643,0.286546,161649600
2002/7/8,0.330714,0.332321,0.315714,0.321607,0.275384,211204000
2002/7/9,0.323036,0.326607,0.311786,0.313036,0.268045,226749600
2002/7/10,0.31625,0.324464,0.308036,0.309286,0.264834,206880800
2002/7/11,0.308214,0.327679,0.303036,0.326786,0.279818,373676800
2002/7/12,0.33125,0.335536,0.308214,0.312679,0.267739,443492000
2002/7/15,0.31125,0.332143,0.300179,0.325536,0.278748,295993600
2002/7/16,0.324107,0.331607,0.314464,0.318929,0.273091,446768000
2002/7/17,0.288036,0.289286,0.27125,0.279107,0.238992,1215485600
2002/7/18,0.276786,0.277857,0.263393,0.267679,0.229207,559462400
2002/7/19,0.2625,0.270893,0.259464,0.267143,0.228748,385207200
2002/7/22,0.263393,0.27125,0.260893,0.266429,0.228136,430897600
2002/7/23,0.266071,0.270179,0.257857,0.258393,0.221255,399890400
2002/7/24,0.255893,0.271786,0.254464,0.271429,0.232418,406593600
2002/7/25,0.266607,0.266964,0.250179,0.256429,0.219574,479354400
2002/7/26,0.258214,0.259464,0.246429,0.256071,0.219267,207704000
2002/7/29,0.258571,0.269643,0.256607,0.268214,0.229665,274960000
2002/7/30,0.265179,0.276964,0.26,0.275536,0.235934,354838400
2002/7/31,0.275,0.275357,0.266071,0.2725,0.233335,310699200
2002/8/1,0.269821,0.275357,0.263036,0.264286,0.226301,228956000
2002/8/2,0.263214,0.267857,0.254464,0.258036,0.22095,179060000
2002/8/5,0.259107,0.2625,0.249464,0.249821,0.213915,204024800
2002/8/6,0.25375,0.271964,0.251429,0.263214,0.225383,272053600
2002/8/7,0.269464,0.274286,0.25625,0.268393,0.229818,333474400
2002/8/8,0.26375,0.274643,0.26375,0.273214,0.233946,227348800
2002/8/9,0.272321,0.272321,0.263393,0.267857,0.229359,205716000
2002/8/12,0.266071,0.268214,0.262321,0.267679,0.229207,179765600
2002/8/13,0.266071,0.271607,0.259821,0.260536,0.22309,269869600
2002/8/14,0.261964,0.274107,0.259643,0.270893,0.231959,399084000
2002/8/15,0.272321,0.28125,0.268036,0.27875,0.238686,322078400
2002/8/16,0.275893,0.2875,0.272857,0.282321,0.241744,245224000
2002/8/19,0.281786,0.290179,0.280714,0.285357,0.244344,216557600
2002/8/20,0.285179,0.287321,0.277321,0.284107,0.243273,186625600
2002/8/21,0.285893,0.29,0.275893,0.287857,0.246484,202428800
2002/8/22,0.289286,0.290179,0.279643,0.285179,0.244191,258311200
2002/8/23,0.283929,0.284464,0.275893,0.280893,0.240521,163245600
2002/8/26,0.284821,0.284821,0.270714,0.277321,0.237463,189968800
2002/8/27,0.280536,0.281071,0.262679,0.265179,0.227066,262231200
2002/8/28,0.264286,0.27,0.261607,0.2625,0.224772,247973600
2002/8/29,0.261607,0.269286,0.259107,0.2625,0.224772,164169600
2002/8/30,0.263036,0.270357,0.260357,0.263393,0.225537,193519200
2002/9/3,0.25875,0.259821,0.250893,0.250893,0.214833,276936800
2002/9/4,0.253571,0.263929,0.253036,0.258571,0.221408,420660800
2002/9/5,0.253929,0.256429,0.250893,0.253214,0.216821,226178400
2002/9/6,0.259107,0.261607,0.254107,0.256786,0.219879,181591200
2002/9/9,0.255,0.259464,0.252679,0.256607,0.219726,158244800
2002/9/10,0.257321,0.25875,0.252143,0.255893,0.219115,249468800
2002/9/11,0.256071,0.260714,0.252679,0.255179,0.218503,202412000
2002/9/12,0.253571,0.259107,0.252143,0.2525,0.216209,269830400
2002/9/13,0.252321,0.256071,0.250893,0.253036,0.216668,282951200
2002/9/16,0.2525,0.260893,0.252143,0.258929,0.221714,286641600
2002/9/17,0.260179,0.268393,0.260179,0.264286,0.226301,427996800
2002/9/18,0.262321,0.269464,0.259286,0.268214,0.229665,328641600
2002/9/19,0.263393,0.264286,0.258571,0.260357,0.222937,205945600
